,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"H[0, 2]",0.602,0.095,0.455,0.766,0.001,0.001,5862.0,2847.0,1.0
"H[0, 3]",0.856,0.067,0.754,0.961,0.001,0.001,6603.0,2676.0,1.0
"H[0, 4]",0.83,0.072,0.719,0.947,0.001,0.001,4304.0,2901.0,1.0
"H[0, 5]",0.758,0.079,0.631,0.886,0.001,0.001,3626.0,2869.0,1.0
"H[0, 6]",0.712,0.087,0.578,0.858,0.001,0.001,6024.0,3086.0,1.0
"H[0, 7]",0.956,0.039,0.905,1.0,0.001,0.0,2554.0,2513.0,1.0
"H[0, 8]",0.939,0.046,0.877,0.999,0.001,0.001,3412.0,2609.0,1.0
"H[0, 9]",0.905,0.054,0.827,0.988,0.001,0.001,3590.0,2551.0,1.0
"H[0, 10]",0.419,0.092,0.271,0.571,0.001,0.001,5706.0,2588.0,1.0
"H[0, 11]",0.944,0.043,0.887,1.0,0.001,0.0,2915.0,2347.0,1.0
"H[0, 12]",0.874,0.063,0.779,0.971,0.001,0.001,3666.0,3086.0,1.0
"H[0, 13]",0.837,0.07,0.726,0.949,0.001,0.001,3863.0,3004.0,1.0
"H[0, 14]",0.685,0.087,0.551,0.834,0.001,0.001,4476.0,2864.0,1.0
"H[0, 15]",0.952,0.041,0.899,1.0,0.001,0.0,3258.0,2244.0,1.0
"H[0, 16]",0.495,0.093,0.347,0.648,0.001,0.001,5585.0,3096.0,1.0
"H[0, 17]",0.827,0.073,0.716,0.941,0.001,0.001,4416.0,2320.0,1.0
"H[0, 18]",0.906,0.056,0.824,0.988,0.001,0.001,3438.0,3002.0,1.0
"H[0, 19]",0.799,0.074,0.685,0.922,0.001,0.001,4130.0,2596.0,1.0
"H[0, 20]",0.748,0.083,0.61,0.878,0.001,0.001,5583.0,2799.0,1.0
"H[0, 21]",0.799,0.075,0.679,0.917,0.001,0.001,3124.0,2752.0,1.0
"H[0, 22]",0.869,0.066,0.77,0.973,0.001,0.001,3464.0,2249.0,1.0
"H[0, 23]",0.911,0.053,0.838,0.992,0.001,0.001,3748.0,2847.0,1.0
"H[0, 24]",0.825,0.07,0.719,0.94,0.001,0.001,4673.0,2988.0,1.0
"H[0, 25]",0.957,0.038,0.904,1.0,0.001,0.0,2961.0,2175.0,1.0
"H[0, 26]",0.76,0.08,0.63,0.888,0.001,0.001,4252.0,2964.0,1.0
"H[0, 27]",0.677,0.086,0.541,0.821,0.001,0.001,5413.0,3136.0,1.0
"H[0, 28]",0.714,0.086,0.571,0.851,0.001,0.001,5223.0,3294.0,1.0
"H[0, 29]",0.428,0.092,0.282,0.581,0.001,0.001,4897.0,2880.0,1.0
"H[0, 30]",0.469,0.094,0.319,0.627,0.001,0.001,4571.0,3089.0,1.0
"H[0, 31]",0.816,0.071,0.712,0.936,0.001,0.001,3734.0,2950.0,1.0
"H[0, 32]",0.822,0.072,0.709,0.942,0.001,0.001,4970.0,2768.0,1.0
"H[0, 33]",0.495,0.094,0.341,0.65,0.001,0.001,5395.0,3090.0,1.0
"H[0, 34]",0.868,0.065,0.77,0.967,0.001,0.001,3657.0,3063.0,1.0
"H[0, 35]",0.624,0.091,0.478,0.775,0.001,0.001,4298.0,2645.0,1.0
"H[0, 36]",0.788,0.079,0.666,0.922,0.001,0.001,4959.0,3276.0,1.0
"H[0, 37]",0.804,0.074,0.686,0.922,0.001,0.001,4185.0,2871.0,1.0
"H[0, 38]",0.5,0.092,0.349,0.652,0.001,0.001,4586.0,3586.0,1.0
"H[0, 39]",0.826,0.074,0.715,0.947,0.001,0.001,4297.0,3338.0,1.0
"H[0, 40]",0.685,0.087,0.545,0.824,0.001,0.001,4608.0,3165.0,1.0
"H[0, 41]",0.725,0.081,0.603,0.864,0.001,0.001,4564.0,3321.0,1.0
"H[0, 42]",0.463,0.093,0.318,0.622,0.001,0.001,4672.0,3038.0,1.0
"H[0, 43]",0.689,0.088,0.555,0.838,0.001,0.001,3692.0,3213.0,1.0
"H[0, 44]",0.709,0.085,0.565,0.84,0.001,0.001,6491.0,2505.0,1.0
"H[0, 45]",0.793,0.077,0.671,0.914,0.001,0.001,4668.0,3115.0,1.0
"H[0, 46]",0.947,0.043,0.889,0.999,0.001,0.0,3243.0,2250.0,1.0
